pitch,start,end,tonalTechnique,articulation,stringId,position,finger
82,59.745455,59.906818,,staccato,3,3,2
77,59.906818,60.063636,,staccato,3,1,1
80,59.906818,60.063636,,staccato,3,1,2
75,60.063636,60.227273,,staccato,2,1,3
79,60.063636,60.227273,,staccato,3,1,2
73,60.227273,60.388636,,staccato,2,1,2
77,60.227273,60.388636,,staccato,3,1,1
72,60.388636,60.545455,,staccato,2,1,2
75,60.388636,60.545455,,staccato,2,1,3
70,60.545455,60.702273,,staccato,2,1,1
73,60.545455,60.702273,,staccato,2,1,2
68,60.702273,60.859091,,staccato,1,1,3
72,60.702273,60.859091,,staccato,2,1,2
67,60.865909,61.022727,,staccato,1,1,3
70,60.865909,61.022727,,staccato,2,1,1
56,61.15,61.259091,,spiccato,0,1,1
63,61.306818,61.352273,,spiccato,1,1,1
72,61.411364,61.463636,,spiccato,2,1,2
80,61.515909,61.568182,,spiccato,3,1,2
80,61.620455,61.688636,,spiccato,3,1,2
72,61.736364,61.8,,spiccato,2,1,2
63,61.845455,61.909091,,spiccato,1,1,1
56,61.956818,62.013636,,spiccato,0,1,1
56,62.061364,62.118182,,spiccato,0,1,1
63,62.177273,62.218182,,spiccato,1,1,1
71,62.270455,62.315909,,spiccato,2,1,1
80,62.368182,62.420455,,spiccato,3,1,2
80,62.468182,62.520455,,spiccato,3,1,2
71,62.565909,62.618182,,spiccato,2,1,1
63,62.647727,62.752273,,spiccato,1,1,1
56,62.797727,62.838636,,,0,1,1
56,62.872727,63.029545,,release,0,1,1
64,62.872727,63.029545,,release,1,1,1
83,63.222727,63.488636,,release,3,3,2
86,63.222727,63.488636,,release,3,3,4
81,63.5,63.715909,,staccato,3,3,1
85,63.5,63.715909,,staccato,3,3,3
80,63.720455,63.877273,,staccato,3,2,1
83,63.720455,63.877273,,staccato,3,3,2
80,63.877273,64.034091,,staccato,3,2,1
83,63.877273,64.034091,,staccato,3,3,2
78,64.040909,64.186364,,staccato,3,1,1
81,64.040909,64.186364,,staccato,3,1,3
76,64.190909,64.331818,,staccato,3,1,0
80,64.190909,64.331818,,staccato,3,1,2
74,64.331818,64.463636,,staccato,2,1,3
78,64.331818,64.463636,,staccato,3,1,1
73,64.470455,64.620455,,staccato,2,1,2
76,64.470455,64.620455,,staccato,3,1,0
71,64.620455,64.777273,,staccato,2,1,1
74,64.620455,64.777273,,staccato,2,1,3
69,64.777273,64.918182,,staccato,1,1,4
73,64.777273,64.918182,,staccato,2,1,2
68,64.918182,65.102273,,staccato,1,1,3
71,64.918182,65.102273,,staccato,2,1,1
57,65.218182,65.3,,spiccato,0,1,1
64,65.347727,65.393182,,spiccato,1,1,1
73,65.438636,65.504545,,spiccato,2,1,2
81,65.55,65.595455,,spiccato,3,1,3
